도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
삼괴도서관,경기도,화성시,공공도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,186,86775,53,4063,7,14,경기도 화성시 만세구 우정읍 쌍봉로 109-26,화성시문화관광재단,031-358-2101,6612,1965,www.hscitylib.or.kr,37.08933609,126.8143188,2026-02-01,5530000,경기도 화성시
봉담도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,737,130996,75,4014,7,14,경기도 화성시 효행구 봉담읍 샘마을1길 8-4,화성시문화관광재단,031-227-7281,2394,4574,www.hscitylib.or.kr,37.21942115,126.949004,2026-02-01,5530000,경기도 화성시
병점도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,275,141429,59,4860,7,14,경기도 화성시 병점구 병점3로 132-6 (병점동),화성시문화관광재단,031-226-1822,49171,2620,www.hscitylib.or.kr,37.21234435,127.0461085,2026-02-01,5530000,경기도 화성시
목동이음터도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,168,94708,17,8221,7,14,경기도 화성시 동탄구 동탄순환대로20길 6 (목동),화성시문화관광재단,031-378-6771,11515,1774,www.hscitylib.or.kr,37.18938961,127.1243164,2026-02-01,5530000,경기도 화성시
동탄중앙이음터도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,480,124473,74,2150,7,14,경기도 화성시 동탄구 동탄대로시범길 115 (청계동),화성시문화관광재단,031-378-7344,11002,2965,www.hscitylib.or.kr,37.19882557,127.1107996,2026-02-01,5530000,경기도 화성시
동탄다원이음터도서관,경기도,화성시,공공도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,284,94873,62,2630,7,14,경기도 화성시 동탄구 동탄순환대로 754-14 (영천동),화성시인재육성재단,031-372-9611,13002,1696,www.hscitylib.or.kr,37.21054214,127.1048231,2026-02-01,5530000,경기도 화성시
노을빛도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:30,18:00,09:30,18:00,262,37530,39,0,7,14,경기도 화성시 병점구 병점노을로 19 (병점동),화성시문화관광재단,031-226-3301,12946,739,www.hscitylib.or.kr,37.20146282,127.0297732,2026-02-01,5530000,경기도 화성시
남양도서관,경기도,화성시,공공도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일",09:00,22:00,09:00,18:00,09:00,18:00,756,113967,66,0,7,14,경기도 화성시 만세구 남양읍 역골중앙로 143,경기도 화성시청,031-356-5241,4556,4499,www.hscitylib.or.kr,37.2103429,126.8250593,2026-02-01,5530000,경기도 화성시
영산도서관,경상남도,창녕군,공공도서관,월+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,153,70201,29,5854,5,14,경상남도 창녕군 영산면 원다리길 34,경상남도 창녕군청,055-530-1931,6500,1400,http://www.cng.go.kr/ysl.web,35.45273826,128.5305123,2025-12-23,5410000,경상남도 창녕군
팔판빛오름작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,60,8584,4,7,10,14,"경상남도 김해시 덕정로 108, 복리동 지하1층(관동동, 팔판마을부영이그린타운9차)",경상남도 김해시청,055-904-2408,,113,http://lib.gimhae.go.kr,35.17891941,128.797674,2026-01-28,5350000,경상남도 김해시
캐슬작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,22,11435,0,76,10,14,"경상남도 김해시 가야로451번길 9, 관리동 2층(동상동, 롯데캐슬1단지아파트)",경상남도 김해시청,055-334-4822,,85,http://lib.gimhae.go.kr,35.24282762,128.8834639,2026-01-28,5350000,경상남도 김해시
칠암도서관,경상남도,김해시,공공도서관,매월마지막주 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,540,105162,123,4621,10,14,경상남도 김해시 활천로285번길 14 (삼방동),경상남도 김해시청,055-330-4581,,5868,http://lib.gimhae.go.kr,35.24456328,128.910444,2026-01-28,5350000,경상남도 김해시
활천행복작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,30,9266,0,75,10,14,"경상남도 김해시 인제로11번길 51, 활천동주민센터 2층(삼정동)",경상남도 김해시청,055-337-5544,,95,http://lib.gimhae.go.kr,35.22890489,128.8998574,2026-01-28,5350000,경상남도 김해시
화정글샘도서관,경상남도,김해시,공공도서관,매월마지막주 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,128,115759,115,5171,10,14,경상남도 김해시 삼계중앙로13번길 19(삼계동),경상남도 김해시청,055-330-2971,,4245,http://lib.gimhae.go.kr,35.26212698,128.8662657,2026-01-28,5350000,경상남도 김해시
한신책사랑작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,10:00,18:00,09:00,17:00,00:00,00:00,15,9609,24,0,10,14,"경상남도 김해시 분성로48번길 16, 한신타워아파트 관리동 2층(외동)",경상남도 김해시청,055-337-5151,,88,http://lib.gimhae.go.kr,35.2308061,128.8537536,2026-01-28,5350000,경상남도 김해시
한림미래작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:30,18:30,09:30,18:30,00:00,00:00,70,11184,5,52,10,14,"경상남도 김해시 한림면 한림로 458번길 20, 한걸음센터 2층",경상남도 김해시청,055-346-7274,,161,http://lib.gimhae.go.kr,35.32535981,128.8004901,2026-01-28,5350000,경상남도 김해시
한국작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,14,16914,0,0,10,14,"경상남도 김해시 분성로 155, 한국2차 관리동 지하1층(외동)",경상남도 김해시청,055-334-5400,,200,http://lib.gimhae.go.kr,35.23075022,128.8644942,2026-01-28,5350000,경상남도 김해시
하늘빛작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,32,12414,23,0,10,14,"경상남도 김해시 구산로5번길 65, 구지마을 동원아파트복리동 지하1층(구산동)",경상남도 김해시청,055-314-3601,,211,http://lib.gimhae.go.kr,35.25471487,128.8690008,2026-01-28,5350000,경상남도 김해시
팔판작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,30,14272,7,3,10,14,"경상남도 김해시 덕정로 68, 관리동 지하1층(관동동, 팔판마을부영이그린타운3차아파트)",경상남도 김해시청,055-312-9822,,306,http://lib.gimhae.go.kr,35.17924236,128.7922295,2026-01-28,5350000,경상남도 김해시
책고래작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:30,18:30,09:30,18:30,00:00,00:00,20,15390,25,0,10,14,"경상남도 김해시 장유로334번길 76, 관리동 3층(신문동, 장유e편한세상아파트)",경상남도 김해시청,055-314-5879,,193,http://lib.gimhae.go.kr,35.19409243,128.8108585,2026-01-28,5350000,경상남도 김해시
진영한빛도서관,경상남도,김해시,공공도서관,매월마지막주 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,259,122350,103,6459,10,14,경상남도 김해시 진영읍 김해대로 440,경상남도 김해시청,055-330-4831,,6568,http://lib.gimhae.go.kr,35.30467825,128.7369112,2026-01-28,5350000,경상남도 김해시
진례작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,40,11252,0,0,10,14,경상남도 김해시 진례면 송현로 21-1,경상남도 김해시청,055-345-4277,,141,http://lib.gimhae.go.kr,35.24884611,128.7507032,2026-01-28,5350000,경상남도 김해시
중흥샘이깊은작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,8258,0,31,10,14,"경상남도 김해시 진영읍 장등로19번길 18, 관리동 2층(중흥s클래스2단지아파트)",경상남도 김해시청,055-346-7181,,146,http://lib.gimhae.go.kr,35.30855712,128.7325694,2026-01-28,5350000,경상남도 김해시
주촌디딤돌작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,10:00,18:00,09:00,17:00,00:00,00:00,20,9649,23,0,10,14,"경상남도 김해시 주촌면 서부로1637번길 15, 주촌복지관 2층",경상남도 김해시청,055-329-0079,,107,http://lib.gimhae.go.kr,35.23813949,128.8308035,2026-01-28,5350000,경상남도 김해시
젤미작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,45,19737,2,1,10,14,"경상남도 김해시 능동로 32, 관리동 지하1층(삼문동, 부영그린타운아파트4단지)",경상남도 김해시청,055-313-4149,,157,http://lib.gimhae.go.kr,35.19627522,128.7983262,2026-01-28,5350000,경상남도 김해시
장유도서관,경상남도,김해시,공공도서관,매월두번째 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,600,114595,82,2322,10,14,경상남도 김해시 대청로176번길 7(대청동),경상남도 김해시청,055-330-7461,,6901,http://lib.gimhae.go.kr,35.19135403,128.7970325,2026-01-28,5350000,경상남도 김해시
장유대우작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,30,20077,23,1,10,14,"경상남도 김해시 팔판로 71, 복리동 2층(관동동, 팔판마을5단지푸르지오아파트)",경상남도 김해시청,055-312-4489,,182,http://lib.gimhae.go.kr,35.176762,128.7946791,2026-01-28,5350000,경상남도 김해시
일동한신꿈나무작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,8883,23,0,10,14,"경상남도 김해시 분성로 14, 일동한신아파트 관리동 2층(외동)",경상남도 김해시청,055-322-4141,,190,http://lib.gimhae.go.kr,35.2291649,128.8489262,2026-01-28,5350000,경상남도 김해시
이안나누리작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:30,18:00,09:00,18:00,00:00,00:00,30,11162,3,121,10,14,"경상남도 김해시 해반천로278번길 12-27, 커뮤니티센터 1층(삼계동, 삼계이안아파트)",경상남도 김해시청,070-8168-0648,,129,http://lib.gimhae.go.kr,35.27421093,128.8677198,2026-01-28,5350000,경상남도 김해시
율하e편한작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,17,10045,3,104,10,14,"경상남도 김해시 율하2로 198, 휘트니스센터 1층(율하동, 율현마을율하e-편한세상)",경상남도 김해시청,055-905-1154,,125,http://lib.gimhae.go.kr,35.17092694,128.8215754,2026-01-28,5350000,경상남도 김해시
유토피아작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,35,10687,28,146,10,14,"경상남도 김해시 인제로 167, 관리동 2층(어방동, 대우유토피아)",경상남도 김해시청,055-312-1300,,179,http://lib.gimhae.go.kr,35.24295841,128.8994583,2026-01-28,5350000,경상남도 김해시
월산주공작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,30,14967,0,0,10,14,경상남도 김해시 월산로 103,경상남도 김해시청,055-311-0261,,118,http://lib.gimhae.go.kr,35.20408651,128.8030146,2026-01-28,5350000,경상남도 김해시
우리작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,23,13007,9,0,10,14,"경상남도 김해시 삼문로 88, 복리동 2층(삼문동, 갑오마을11단지부영그린타운아파트)",경상남도 김해시청,055-312-3342,,115,http://lib.gimhae.go.kr,35.19109356,128.8072719,2026-01-28,5350000,경상남도 김해시
안동문화의집작은도서관,경상남도,김해시,작은도서관,매주월요일+토요일+일요일+국가지정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,25,4935,0,0,10,14,경상남도 김해시 삼안로 72,경상남도 김해시청,055-330-3225,,171,http://lib.gimhae.go.kr,35.23562795,128.9179039,2026-01-28,5350000,경상남도 김해시
소리작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,50,10062,25,234,10,14,"경상남도 김해시 가락로94번길 7, 중앙상가빌딩 2층(서상동)",경상남도 김해시청,055-314-3657,,255,http://lib.gimhae.go.kr,35.23517632,128.8820843,2026-01-28,5350000,경상남도 김해시
석봉마을작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,30,5570,5,1,10,14,"경상남도 김해시 금관대로599번길 11-1, 대동1단지 복리동2층(무계동)",경상남도 김해시청,070-8165-0213,,122,http://lib.gimhae.go.kr,35.20250847,128.8131045,2026-01-28,5350000,경상남도 김해시
생림작은도서관,경상남도,김해시,작은도서관,매주월요일+토요일+일요일+국가지정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,6,3293,3,43,10,14,"경상남도 김해시 생림면 봉림로 34-10, 생림복지센터 1층(생림면)",경상남도 김해시청,055-321-0308,,33,http://lib.gimhae.go.kr,35.32773042,128.8495091,2026-01-28,5350000,경상남도 김해시
생각이크는작은도서관,경상남도,김해시,작은도서관,매주수요일+일요일+국가지정공휴일,09:30,18:30,09:30,18:30,00:00,00:00,16,10339,0,1,10,14,"경상남도 김해시 진영읍 김해대로361번길 31, 관리동 지하1층(진영자이아파트)",경상남도 김해시청,070-7774-4406,,118,http://lib.gimhae.go.kr,35.30906213,128.7284535,2026-01-28,5350000,경상남도 김해시
삼계푸르지오작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,10:00,18:00,09:00,17:00,00:00,00:00,50,16024,4,280,10,14,"경상남도 김해시 가야로 19, 관리동 2층 (삼계동, 분성마을5단지푸르지오아파트)",경상남도 김해시청,055-339-7870,,158,http://lib.gimhae.go.kr,35.27235791,128.862689,2026-01-28,5350000,경상남도 김해시
삼계로얄작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,20,13125,3,453,10,14,"경상남도 김해시 가야로 58-1, 관리동 2층(삼계동, 동원로얄듀크아파트)",경상남도 김해시청,055-311-2151,,135,http://lib.gimhae.go.kr,35.26943833,128.8668753,2026-01-28,5350000,경상남도 김해시
불암동작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,40,12588,25,150,10,14,"경상남도 김해시 식만로 389-5, 선암마을회관 3층(불암동)",경상남도 김해시청,055-336-7879,,138,http://lib.gimhae.go.kr,35.22241654,128.9259754,2026-01-28,5350000,경상남도 김해시
분성아이파크작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:30,18:30,09:30,17:00,00:00,00:00,15,10521,4,0,10,14,"경상남도 김해시 삼계로 232, 관리동 지하1층(삼계동, 현대분성마을아이파크1차아파트)",경상남도 김해시청,055-331-5301,,125,http://lib.gimhae.go.kr,35.26743578,128.8692348,2026-01-28,5350000,경상남도 김해시
리첼작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,32,10550,20,73,10,14,"경상남도 김해시 덕정로 187, 주민공동시설 지하1층(관동동, 세영리첼)",경상남도 김해시청,055-321-7764,,195,http://lib.gimhae.go.kr,35.17692556,128.8043281,2026-01-28,5350000,경상남도 김해시
뜨란채작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,32,12931,2,0,10,14,"경상남도 김해시 우암로 36, 관리동 2층(외동)",경상남도 김해시청,055-336-1250,,115,http://lib.gimhae.go.kr,35.23286123,128.8624359,2026-01-28,5350000,경상남도 김해시
떡갈나무숲작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:30,00:00,00:00,30,8972,2,79,10,14,"경상남도 김해시 율하2로 162, 율현마을주공13단지아파트 주민공동시설 지하1층",경상남도 김해시청,055-329-8005,,148,http://lib.gimhae.go.kr,35.16853242,128.8185189,2026-01-28,5350000,경상남도 김해시
덕산작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,50,14725,30,0,10,14,"경상남도 김해시 함박로119번길 6, 관리동 2층(외동, 덕산아파트)",경상남도 김해시청,070-7760-0775,,120,http://lib.gimhae.go.kr,35.23413331,128.8680504,2026-01-28,5350000,경상남도 김해시
대포천작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:30,18:00,09:00,17:00,00:00,00:00,21,11854,0,77,10,14,경상남도 김해시 상동면 장척로756번길 6,경상남도 김해시청,055-323-8766,,93,http://lib.gimhae.go.kr,35.30719964,128.9306847,2026-01-28,5350000,경상남도 김해시
대동한마음작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,41,15780,5,0,10,14,"경상남도 김해시 함박로101번길 19, 관리동 2층(외동, 대동아파트)",경상남도 김해시청,055-326-7760,,115,http://lib.gimhae.go.kr,35.23347835,128.864783,2026-01-28,5350000,경상남도 김해시
대동푸른뜰작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,20,7755,1,243,10,14,"경상남도 김해시 대동면 동남로41번길 13-11, 대동복지회관 1층",경상남도 김해시청,070-8883-4883,,112,http://lib.gimhae.go.kr,35.23611167,128.9938899,2026-01-28,5350000,경상남도 김해시
내외작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,28,11225,22,1,10,14,"경상남도 김해시 금관대로 1255, 내외문화의집 1층 내외작은도서관(내동)",경상남도 김해시청,055-337-0050,,240,http://lib.gimhae.go.kr,35.23751527,128.8578667,2026-01-28,5350000,경상남도 김해시
김해율하도서관,경상남도,김해시,공공도서관,매월네번째 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,364,67268,53,0,10,14,경상남도 김해시 율하2로 210 (율하동),경상남도 김해시청,055-340-7161,,5648,http://lib.gimhae.go.kr,35.17260447,128.8209441,2026-01-28,5350000,경상남도 김해시
김해어린이영어도서관,경상남도,김해시,공공도서관,매월첫번째 월요일+국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,213,18946,18,0,10,14,"경상남도 김해시 부곡로 57, 장유다누림센터 3층(부곡동)",경상남도 김해시청,055-330-0491,,1228,https://lib.gimhae.go.kr,35.20931007,128.7983072,2026-01-28,5350000,경상남도 김해시
김해시 행정자료실,경상남도,김해시,작은도서관,매주토요일+일요일+국가지정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,10,12214,0,0,10,14,경상남도 김해시 김해대로 2401 (김해시청 본관2층),경상남도 김해시청,055-330-4770,,49,http://lib.gimhae.go.kr,35.22878699,128.8898338,2026-01-28,5350000,경상남도 김해시
김해기적의도서관,경상남도,김해시,공공도서관,매월세번째 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,300,54341,36,1594,10,14,경상남도 김해시 율하1로 55(율하동),경상남도 김해시청,055-330-4651,,1458,http://lib.gimhae.go.kr,35.17567843,128.8103324,2026-01-28,5350000,경상남도 김해시
김해글로벗도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,12,11015,6,980,10,14,"경상남도 김해시 진영읍 본산로 27-13, 3층 302호(태영빌딩)",경상남도 김해시청,055-338-1616,,109,http://lib.gimhae.go.kr,35.30783578,128.7369295,2026-01-28,5350000,경상남도 김해시
글혜윰작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,17,11886,4,0,10,14,"경상남도 김해시 진영읍 김해대로361번길 34, 관리동 2층(김해진영코아루아파트)",경상남도 김해시청,055-342-0674,,110,http://lib.gimhae.go.kr,35.31136394,128.7318944,2026-01-28,5350000,경상남도 김해시
U보라작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:30,18:30,09:30,17:30,00:00,00:00,27,8506,7,0,10,14,"경상남도 김해시 전하로208번길 40-12, 반도보라아파트 관리사무소 2층(전하동)",경상남도 김해시청,055-324-3335,,120,http://lib.gimhae.go.kr,35.22355779,128.8731862,2026-01-28,5350000,경상남도 김해시
사북공공도서관,강원특별자치도,정선군,공공도서관,매주 월요일 및 법정공휴일,09:00,22:00,09:00,22:00,00:00,00:00,187,48726,31,233,6,14,강원특별자치도 정선군 사북읍 파랑새길 33,(재)3.3기념사업회,033-592-5757,1365,1380,http://www.sbl.or.kr,37.224225,128.824664,2026-01-31,4291000,강원특별자치도 정선군
정선군립도서관,강원특별자치도,정선군,공공도서관,매주 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,122,20378,19,282,6,14,강원특별자치도 정선군 정선읍 녹송2길 26,정선군,033-563-6777,9434,3119,http://lib.jeongseon.go.kr,37.38236046,128.6728744,2026-01-31,4291000,강원특별자치도 정선군
하남시감일도서관,경기도,하남시,공공도서관,매주 월요일,09:00,22:00,09:00,18:00,00:00,23:59,124,32697,50,0,5,14,경기도 하남시 감일순환로 171,하남시립도서관,031-790-6368,5852,1850,,37.5106812,127.1524647,2026-01-01,4040000,경기도 하남시
하남시일가도서관,경기도,하남시,공공도서관,매주 일요일,09:00,18:00,09:00,18:00,00:00,23:59,110,32957,26,523,5,14,경기도 하남시 미사강변남로 10,하남시립도서관,031-5182-1046,425,844,https://www.hanamlib.go.kr/iglib/index.do,37.55861863,127.1833236,2026-01-01,4040000,경기도 하남시
하남시덕풍도서관,경기도,하남시,공공도서관,매주 일요일,08:00,23:00,08:00,23:00,00:00,23:59,170,29514,37,0,5,14,경기도 하남시 역말로 14,하남시립도서관,031-790-6959,436,719,https://www.hanamlib.go.kr/dulib/index.do,37.533514,127.200579,2026-01-01,4040000,경기도 하남시
하남시디지털도서관,경기도,하남시,공공도서관,매주 금요일,08:00,23:00,08:00,23:00,00:00,23:59,400,0,0,25890,5,14,경기도 하남시 미사강변한강로 290-2,하남시립도서관,031-790-6811,593,1526,https://www.hanamlib.go.kr/dilib/index.do,37.563065,127.197009,2026-01-01,4040000,경기도 하남시
하남시세미도서관,경기도,하남시,공공도서관,매주 금요일,09:00,22:00,09:00,18:00,00:00,23:59,209,35528,35,1355,5,14,경기도 하남시 세미로1길 15,하남시립도서관,031-790-6804,660,1322,https://www.hanamlib.go.kr/selib/index.do,37.543444,127.194092,2026-01-01,4040000,경기도 하남시
하남시신장도서관,경기도,하남시,공공도서관,매주 수요일,08:00,23:00,08:00,23:00,00:00,23:59,400,153435,60,9506,5,14,경기도 하남시 하남대로 740,하남시립도서관,031-790-6945,2201,2201,https://www.hanamlib.go.kr/silib/index.do,37.53787572,127.2143391,2026-01-01,4040000,경기도 하남시
하남시위례도서관,경기도,하남시,공공도서관,매주 목요일,09:00,22:00,09:00,18:00,00:00,23:59,392,64535,50,0,5,14,경기도 하남시 위례대로 230,하남시립도서관,031-790-6036,1500,2218,https://www.hanamlib.go.kr/wilib/index.do,37.4817177153,127.148159648,2026-01-01,4040000,경기도 하남시
하남시나룰도서관,경기도,하남시,공공도서관,매주 월요일,08:00,23:00,08:00,23:00,00:00,23:59,567,220215,75,6695,5,14,경기도 하남시 덕풍북로 180,하남시립도서관,031-790-6887,3486,3486,https://www.hanamlib.go.kr/nalib/index.do,37.553377,127.208438,2026-01-01,4040000,경기도 하남시
하남시미사도서관,경기도,하남시,공공도서관,매주 화요일,09:00,22:00,09:00,18:00,00:00,23:59,813,154031,124,5070,5,14,경기도 하남시 아리수로 545,하남시립도서관,031-790-6884,4000,6449,https://www.hanamlib.go.kr/mslib/index.do,37.56761783,127.187303,2026-01-01,4040000,경기도 하남시
숲속옹달샘도서관,경기도,의왕시,작은도서관,매주월요일+매주일요일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,42,6912,8,0,10,14,"경기도 의왕시 이미로 17, 209동 1층",경기도 의왕시청,070-7812-0004,,157,http://www.uwlib.or.kr/small,37.40107323,126.9883676,2025-12-19,4030000,경기도 의왕시
왕송호수작은도서관,경기도,의왕시,작은도서관,매주월요일+매주일요일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,50,3338,8,0,10,14,"경기도 의왕시 왕송못동로 307, 1층",경기도 의왕시청,031-345-3650,,168,http://www.uwlib.or.kr/small,37.30710763,126.9531458,2025-12-19,4030000,경기도 의왕시
청계숲고운도서관,경기도,의왕시,작은도서관,매주월요일+매주일요일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,42,3248,8,0,10,14,"경기도 의왕시 덕장로 19, 3층",경기도 의왕시청,031-345-2637,,105,http://www.uwlib.or.kr/small,37.39134717,126.9950773,2025-12-19,4030000,경기도 의왕시
청계참고운도서관,경기도,의왕시,작은도서관,매주금요일+매주토요일+법정공휴일,09:00,18:00,00:00,00:00,09:00,18:00,50,20672,8,933,10,14,"경기도 의왕시 안양판교로 232, 4층",경기도 의왕시청,031-345-3285,,245,http://www.uwlib.or.kr/small,37.38873127,126.9963688,2025-12-19,4030000,경기도 의왕시
내손책고운도서관,경기도,의왕시,작은도서관,매주월요일+매주일요일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,60,22975,8,764,10,14,"경기도 의왕시 갈미2로 4, 4층",경기도 의왕시청,031-345-3225,,250,http://www.uwlib.or.kr/small,37.3787334,126.975456,2025-12-19,4030000,경기도 의왕시
오전빛고운도서관,경기도,의왕시,작은도서관,매주토요일+매주일요일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,30,25902,8,498,10,14,"경기도 의왕시 찬우물길 11, 3층",경기도 의왕시청,031-345-3195,,160,http://www.uwlib.or.kr/small,37.3536274,126.971556,2025-12-19,4030000,경기도 의왕시
부곡글고운도서관,경기도,의왕시,작은도서관,매주월요일+매주일요일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,67,28855,8,844,10,14,"경기도 의왕시 부곡시장길 75, 4층",경기도 의왕시청,031-345-3155,,258,http://www.uwlib.or.kr/small,37.31873929,126.956765,2025-12-19,4030000,경기도 의왕시
백운호수도서관,경기도,의왕시,공공도서관,매주월요일+법정공휴일+매월 첫번째 일요일,09:00,22:00,09:00,18:00,09:00,18:00,104,21111,30,0,10,14,경기도 의왕시 백운중앙로 74,경기도 의왕시청,031-345-3436,2204,704,https://uwlib.or.kr/baeagun,37.37004061,127.0076006,2025-12-19,4030000,경기도 의왕시
